indicators_harmonized,ga,sua,ipcc
gross domestic product,1,NA,NA
globalization index,1,NA,NA
poverty gap,1,NA,NA
food security index,1,NA,NA
depth of the food deficit (kcal/capit a/day) (3- year average),1,NA,NA
access to improved sanitation facilities,1,NA,NA
domestic material consumption,1,NA,NA
per capita calorie intake,1,NA,NA
prevalence of obesity in the adult population (18 years and older),1,NA,NA
energy use (kg of oil equivalent per capita),1,NA,NA
mobile cellular subscriptions,1,NA,NA
fossil-fuel energy consumption (% of total),1,NA,NA
renewable electricity consumption (% of total electricity output),1,NA,NA
electric power consumption (kwh per capita),1,NA,NA
access to electricity,1,NA,NA
alternative and nuclear energy (% of total energy use),1,NA,NA
protein intake per country per person,1,NA,NA
"energy supply derived from cereals, roots and tubers",1,NA,NA
people per ouletlet mcdonals,1,NA,NA
population growth (annual %),1,NA,NA
population density,1,NA,NA
child mortality rate,1,NA,NA
urban population,1,NA,NA
total international migrant stock,1,NA,NA
refugee population,1,NA,NA
migration net,1,NA,NA
population in the largest city,1,NA,NA
population in megacities,1,NA,NA
agricultural land,1,NA,NA
livestock indigenous animals,1,NA,NA
livestock density of cattle,1,NA,NA
livestock density of animals (chickens),1,NA,NA
area of agricultural land under organic production,1,NA,NA
"international tourism, number of departures",1,NA,NA
"international tourism, number of arrivals",1,NA,NA
container port traffic (teu: 20 foot equivalent units),1,NA,NA
air passengers,1,NA,NA
air departures,1,NA,NA
deaths from air pollution,1,NA,NA
ghg emissions,1,NA,NA
pesticide use,1,NA,NA
fertilizers used,1,NA,NA
air pollution,1,NA,NA
nitrogenen deposition trends,1,NA,NA
ghg emissions change,1,NA,NA
extraction ores,1,NA,NA
extraction all of biomass,1,NA,NA
extraction of ind. and const. minerals,1,NA,NA
extraction biomass food,1,NA,NA
extraction biomass forestry,1,NA,NA
extraction biomass feed,1,NA,NA
extraction biomass animals,1,NA,NA
extraction other biomass,1,NA,NA
extraction fossil-fuel,1,NA,NA
water withdrawal,1,NA,NA
renewable internal freshwater resource,1,NA,NA
agricultural water withdrawal,1,NA,NA
ramsar sites,1,NA,NA
certified forest area,1,NA,NA
united nations framework convention on climate change,1,NA,NA
convention of fishing and conservation of the living resources of the high seas,1,NA,NA
montreal protocol,1,NA,NA
convention on biological diversity,1,NA,NA
convention on the conservation of antarctic marine living resources,1,NA,NA
"credit to agriculture, forestry and fishing",1,NA,NA
political stability and absence of violence/terrorism,1,NA,NA
above-ground biomass,1,NA,NA
biodiversity habitat index,1,NA,NA
biodiversity habitat index (hotspots),1,NA,NA
coastal carbon-rich habitat,1,NA,NA
coastal protection habitats,1,NA,NA
forest area,1,NA,NA
extent of intact forest landscapes,1,NA,NA
extent of marine wilderness,1,NA,NA
extent of terrestrial wilderness,1,NA,NA
fraction of ocean not fished per year,1,NA,NA
land not cultivated or urban,1,NA,NA
land not cultivated or urban (hotspots),1,NA,NA
land not cultivated or urban (indigenous lands),1,NA,NA
leaf area index (lai),1,NA,NA
mangrove forest area,1,NA,NA
extent of suitable habitat,1,NA,NA
live coral cover,1,NA,NA
permanent surface water extent,1,NA,NA
remaining primary vegetation,1,NA,NA
remaining primary vegetation (hotspots),1,NA,NA
remaining primary vegetation (indigenous lands),1,NA,NA
seagrass meadow area,1,NA,NA
soil organic carbon (correlative model),1,NA,NA
soil organic carbon (mechanistic models),1,NA,NA
tree cover,1,NA,NA
vegetation biomass (mechanistic models),1,NA,NA
wetland extent trends index,1,NA,NA
biological pump efficiency,1,NA,NA
biomass turnover rate,1,NA,NA
evapotranspiration (model ensemble),1,NA,NA
marine net primary production,1,NA,NA
net primary production remaining in ecosystems,1,NA,NA
oceanic carbon sequestration,1,NA,NA
terrestrial c sequestration (model ensemble),1,NA,NA
terrestrial net primary production (model ensemble),1,NA,NA
terrestrial net primary production (remote-sensing),1,NA,NA
biodiversity intactness index (hotspots),1,NA,NA
biodiversity intactness index (indigenous lands),1,NA,NA
biodiversity intactness index,1,NA,NA
local species richness (biotime),1,NA,NA
local species richness (predicts),1,NA,NA
mean species abundance (msa),1,NA,NA
mean species abundance (msa) (hotspots),1,NA,NA
mean species abundance (msa) (indigenous lands),1,NA,NA
"biodiversity intactness index (tropical forest, hotspots)",1,NA,NA
"biodiversity intactness index (tropical forest, indigenous lands)",1,NA,NA
biodiversity intactness index (tropical forest),1,NA,NA
bird species per grid cell,1,NA,NA
cumulative introduced invasive aliens,1,NA,NA
forest-specialist bird species per grid cell,1,NA,NA
functional intactness (madingley) (madingley),1,NA,NA
species richness per grid cell,1,NA,NA
global bird richness (csar),1,NA,NA
global forest-specialist bird richness (csar),1,NA,NA
global mammal and bird species remaining,1,NA,NA
red list index,1,1,NA
red list index (forest specialists),1,NA,NA
red list index (internationally traded birds),1,NA,NA
red list index (pollinators),1,NA,NA
red list index (for utilized species),1,NA,NA
red list index (wild relatives),1,NA,NA
extent of suitable habitat (mammals),1,NA,NA
mammalian range size,1,NA,NA
megafaunal range size,1,NA,NA
species habitat index,1,NA,NA
proportion of fish stocks within biologically sustainable levels,1,1,NA
living planet index (freshwater),1,NA,NA
living planet index (marine),1,NA,NA
living planet index,1,NA,NA
living planet index (terrestrial),1,NA,NA
predatory fish biomass,1,NA,NA
prey fish biomass,1,NA,NA
wild bird index (habitat specialists),1,NA,NA
wild mammal biomass,1,NA,NA
functional richness (madingley),1,NA,NA
mammalian body mass,1,NA,NA
marine trophic index (mti),1,NA,NA
extent of each ecoregion globally,1,NA,NA
landscape dominance of habitat,1,NA,NA
number of managed bee hives,1,NA,NA
abundance of managed and wild pollinators,1,NA,NA
pollinator diversity,1,NA,NA
proportion pollinator dependent vegetables/fruit in food supply,1,NA,NA
number of visitors to national parks in the eeuu,1,NA,NA
output from pollinator dependent crops,1,NA,NA
carbon stocks in ecosystems,1,NA,NA
prevented emissions from biofuel use,1,NA,NA
vegetation type and cover in areas prone to soil dust emission,1,NA,NA
leaf properties,1,NA,NA
vegetation type and cover in areas prone to soil dust movement,1,NA,NA
concentration of air pollutants in the air,1,NA,NA
retention and prevented emissions of air pollutants by ecosystems,1,NA,NA
amelioration of health problems caused by air pollution resulted from ecosystem contributions to air quality,1,NA,NA
reduction in the number of deaths caused by air pollution reduction by ecosystems,1,NA,NA
"premature deaths caused by pollution emissions by natural sources, biomass burning, firewood use and agriculture",1,NA,NA
cost reduction with healthcare resulted from ecosystem contributions to air quality,1,NA,NA
cost reduction associated to prevented deaths caused by air pollution as consequence of ecosystems’ deposition of air pollutants,1,NA,NA
vegetation-atmosphere co2 exchange,1,NA,NA
below- and above-ground biomass stocks,1,NA,NA
biomass changes,1,NA,NA
remote sensed vegetation,1,NA,NA
mechanistic models that quantify and disentangle effects of vegetation on climate and hydrological cycle,1,NA,NA
atmospheric sounding,1,NA,NA
infiltrability,1,NA,NA
air temperature low-cost thermal imagery,1,NA,NA
soil organic carbon,1,NA,NA
dust emissions,1,NA,NA
net greenhouse gases emissions,1,NA,NA
air-sea and sediment-water fluxes of carbon and co2,1,NA,NA
air-sea fluxes of other greenhouse gases such as dimethyl sulfide,1,NA,NA
dissolved organic carbon,1,NA,NA
co2 removal from atmosphere,1,NA,NA
net primary production,1,NA,NA
abundance of sulfate reducing microorganisms,1,NA,NA
carbon sequestration,1,NA,NA
concentration of greenhouse gases in the atmosphere,1,NA,NA
prevented emissions and uptake of greenhouse gases by ecosystems,1,NA,NA
number of deaths caused by extreme climatic events,1,NA,NA
food security and climate change,1,NA,NA
number of undernourished people,1,NA,NA
crop production breaks caused by climate change,1,NA,NA
"economic impacts of climate change on specific aspects of regional economic activity, such as labour productivity, the supply of production factors such as capital, and changes in the structure of demand",1,NA,NA
extent of marine vegetation,1,NA,NA
extent of marine calcification,1,NA,NA
net primary production seaweed aquaculture,1,NA,NA
extent of coral reefs,1,NA,NA
land use change that causes a change in et,1,NA,NA
change in terrestrial biomass,1,NA,NA
change in extent of wetlands and inland water bodies,1,NA,NA
"biotic mediation of air-surface-groundwater partitioning (water demand by vegetation, infiltration)",1,NA,NA
water availability,1,NA,NA
water available for people relative to demand,1,NA,NA
extent of irrigated area,1,NA,NA
water shortage,1,NA,NA
desertification,1,NA,NA
how much kw hrs that are dependent on water ag (irrigated area),1,NA,NA
suspended organic carbon,1,NA,NA
existence of non-crop or urban in a place dominated by either,1,NA,NA
capacity of ecosystem to filter (or add) constituent components (extent of vegetation),1,NA,NA
concentration of constituents (pollutants) in the water,1,NA,NA
reduced incidence of water borne disease,1,NA,NA
avoided water treatment costs,1,NA,NA
rain-use efficiency adjusted ndvi,1,NA,NA
crop yield,1,NA,NA
soil depth,1,NA,NA
food security,1,NA,NA
soil biodiversity,1,NA,NA
soil quality,1,NA,NA
soil degradation impact on crop productivity,1,NA,NA
coral reefs distribution and extent,1,NA,NA
mangrove distribution and abundance,1,NA,NA
